first_name,last_name,address,city,state,postcode,date_of_birth,phone_number,email,user_name,password,ipv4,ipv6,mac_address,domain_name,url,color_name
Custodio,,"Calle Gertrudis Vilanova 56 Puerta 4 
Tarragona, 29935",Huesca,Valladolid,34911,32-13-2022,+34880 11 02 86,verdejoolegario@example.org,anselma91,!4YG1&6^@m,105.128.47.186,bb4a:48e2:e1dc:2d46:504a:72ae:df38:cd2e,68:e4:04:a7:38:4c,barbera.net,error_value,Orquídea medio
Anabel,Hernández,"Vial de Ema Román 239
Baleares, 33028",Cuenca,Palencia,26658,1972-07-05,INVALID,teofila45@example.org,agataroda,hX7VCt4lG),121.117.110.5,9fb1:5232:827e:af2d:e27b:b375:9a48:64dc,7e:9a:dd:c9:62:83,salvador.net,error_value,Amarillo dorado claro
Amor,,"Avenida de Manu Plaza 814
Lleida, 20543",Jaén,Lleida,INVALID,2000-02-05,+34 941 919 573,perezbartolome@example.com,zblasco,,error_value,230a:26ee:5af5:baa7:1743:3022:c927:fb64,9e:39:d5:2f:b9:95,restauracion.com,https://iris.es/,Verde
,Melero,"Cuesta de Rosa María Benavent 283
La Coruña, 51419",La Rioja,Santa Cruz de Tenerife,29942,1956-11-30,+34 883501040,galianoluis-miguel@example.org,,,125.22.71.166,7034:acd7:f008:8d4e:35d:6d75:5784:97c,4a:26:f3:ae:fd:17,banca.org,https://inmobiliaria.es/,Blanco floral
Nicodemo,Solé,"Vial de Emelina Serna 77 Piso 2 
La Coruña, 19748",Teruel,,48577,2012-10-22,INVALID,,,*$JnFquqo9,196.81.140.125,error_value,62:48:84:9e:9b:e3,carrera.com,error_value,Bisque
,Clavero,"Glorieta Daniel Pascual 83
Burgos, 25685",Ciudad,León,17968,32-13-2022,+34 846 49 65 62,ernesto00@example.net,perlitaochoa,o&*l8Rlh)y,71.238.202.161,error_value,error_value,perea.com,error_value,Amarillo dorado oscuro
Jerónimo,Atienza,"Vial de Sebastián Riera 95 Puerta 6 
Navarra, 50492",Navarra,Sevilla,INVALID,2019-10-13,+34 824 365 164,xcolomer@example.com,,WMtCOrMa+5,85.120.74.139,22f6:4293:a26a:6e63:cc0a:897d:a4db:6292,d0:fd:a4:f6:ab:5d,despacho.org,error_value,Cian clarto
Chita,Galindo,"Acceso Martín Gomez 18 Piso 2 
Guipúzcoa, 49344",Cádiz,Burgos,15344,1911-01-15,+34 967382233,baldomeroandrade@example.org,vmolins,mz^4Sl%Sy%,171.185.82.17,ddb5:64dd:15fe:42b:65bc:77ac:2a4:d8df,68:6c:0d:9a:64:2a,tapia.es,error_value,Turquesa pálido
Delfina,Pino,"Urbanización de Nazario Jordá 7 Piso 9 
Cádiz, 49296",Alicante,Palencia,27582,32-13-2022,+34 876 24 62 11,uporta@example.org,saavedraamarilis,5epY_amu$S,14.91.154.74,3ae5:774:82b8:9874:f931:ec1:1196:8c78,1c:9b:e8:4f:22:51,error_value,https://fabrica.es/,Verde prado
Remedios,Almagro,"Acceso de Fabián Navas 767 Piso 3 
Tarragona, 50084",Soria,Ceuta,42543,2007-05-21,+34 973 008 878,adanesperanza@example.org,puentemarcelo,G&9AHhP%Y0,41.4.220.88,b6b4:e663:94a5:1387:7d55:6d02:eeba:46d3,a8:38:b2:51:0f:74,grupo.com,error_value,Azul Alicia
Sebastian,,"Plaza de Nélida Diaz 3 Piso 2 
Alicante, 07057",,Pontevedra,26436,32-13-2022,+34 849 616 308,sosimoraya@example.net,,PR9LIrRIb!,error_value,ceb1:e1fb:9bc1:9760:a046:f40f:802a:59b5,error_value,grupo.com,http://www.martin.es/,Oro
Rosalina,Robles,"Alameda de Victor Bello 170 Apt. 75 
Valencia, 07121",Cantabria,,32754,1968-09-16,+34975549377,german51@example.net,irios,^z7ZZe#1m$,186.103.43.157,a7f4:ac12:52e4:1c9b:2ecd:6fd5:63ce:5614,e0:19:4e:a8:61:e5,manufacturas.es,http://comercializadora.com/,Amarillo dorado claro
,Vilalta,"Vial de Pacífica Robles 71
Santa Cruz de Tenerife, 40344",Málaga,Toledo,INVALID,1998-01-05,+34981 388 445,fidel10@example.org,eugenio86,e7AGe$Yk$1,error_value,9f4d:8944:f0b8:830b:bf59:27bc:c62e:d8c8,error_value,transportes.es,http://construccion.es/,Púrpura
Salud,Colomer,"Urbanización de Carina Perelló 678 Piso 6 
Badajoz, 24775",Las Palmas,Huesca,29534,2021-09-26,+34848 099 314,juan-pablo24@example.com,qmarino,3!Dfy3)K#O,221.93.45.167,c417:4414:8a70:df25:c06:a5fb:eb33:62c4,4c:2c:1d:ac:c2:f9,error_value,http://restauracion.com/,Azul anciano
Nicolás,Castells,"Acceso de Zoraida Pino 53
Jaén, 43596",,León,14305,1914-01-07,+34 924318767,,esmeraldaalcaraz,kr5k@CJoX%,2.121.220.242,c910:72d2:609d:f882:76a8:3de:9a13:2116,7e:a3:96:b3:44:4e,inmobiliaria.com,https://www.grupo.net/,
Rodolfo,Llanos,"Glorieta de Manuel Albero 3
Ourense, 52098",León,,INVALID,1977-07-23,+34 704157787,portarufina@example.net,felixserrano,&APuV1im^9,73.147.19.215,error_value,42:60:15:df:31:f2,zabaleta.es,https://www.farmaceutica.net/,Gris pizarra claro
,Jiménez,"Via de Evaristo Ribas 171
Las Palmas, 01363",Tarragona,Segovia,26545,32-13-2022,+34875 22 95 29,jpatino@example.com,,!3UkCQ^gjL,94.93.224.136,8a43:adb2:f9f7:eecb:a33d:c86f:f09:7745,8a:12:78:8a:64:a8,error_value,https://supermercados.es/,
Glauco,Garcia,"Pasaje Begoña Batlle 791
Granada, 30542",Ciudad,Melilla,21966,2004-01-13,+34 820 49 71 49,trinidad64@example.org,flavioriquelme,)7GIHbIDh(,191.252.218.170,661d:8b3e:bede:53e0:9415:eb5a:3005:3303,82:0d:66:7d:72:49,error_value,error_value,Marrón perú
Juan José,Pi,"Via de Apolonia Sales 2 Piso 0 
Albacete, 47862",Cáceres,Baleares,02954,1994-12-25,INVALID,soraya40@example.com,augusto69,#mv$UWWZ35,121.135.138.2,9780:90e6:fc6d:2480:e71d:2fe7:a788:15ab,bc:8b:ee:6a:ef:c0,inmobiliaria.org,http://www.promociones.com/,Blanco lino
Bárbara,Hervia,"Plaza de Mónica Isern 23 Puerta 1 
La Rioja, 15575",Valladolid,Málaga,42004,1937-12-28,+34 884 00 34 26,,,$DYY#wEL29,87.12.219.104,8d9f:f65d:8e86:9ac4:d32a:8302:6903:1742,60:83:8f:cd:a3:f5,sala.es,https://www.comercial.com/,Violeta
Severino,Puig,"Avenida Roldán Ibarra 6 Apt. 32 
León, 16967",,Asturias,15842,32-13-2022,+34 820106411,muletbernarda@example.com,vizcainodaniel,,190.159.114.111,3d47:1185:95be:7099:ad2a:aa52:60c5:c492,error_value,palmer.com,https://comercializadora.com/,
Antonio,Cobo,"Cuesta de David Gutiérrez 80 Piso 0 
Valencia, 39871",,,51587,1973-11-25,INVALID,cloe67@example.net,macariosales,iL4FSUaf#D,74.6.38.2,64be:87eb:c2fb:3b89:5d9a:d826:5eb7:d25a,c0:b5:f7:87:c0:4f,industrias.net,https://www.juan.com/,Azul azur
Aroa,,"Acceso de Apolinar Gonzalo 96
Cáceres, 45737",Málaga,Murcia,INVALID,32-13-2022,INVALID,,lucas86,LB56%D_n^8,30.9.219.98,aefc:46fa:5b90:1d9f:d179:b05a:109:971b,c4:a1:0a:ec:c3:2d,murcia.com,error_value,Rojo ladrillo
Nazario,Amigó,"Camino Heriberto Neira 62 Puerta 7 
Sevilla, 39348",Guadalajara,Albacete,41937,1962-03-08,+34887 294 440,ruperto12@example.net,,,error_value,error_value,error_value,finanzas.es,https://familia.es/,
,Teruel,"Cuesta Adelia Fajardo 7 Apt. 33 
Barcelona, 40901",Cáceres,Alicante,41636,1991-01-17,+34 876 706 434,vivesloreto@example.com,sarabiaberta,v7MN0d#(^H,215.156.141.174,6c57:eaed:733:b836:9da9:8ef8:c7fd:5b62,58:39:61:d3:67:42,tecnologias.com,http://www.galvan.es/,
Candela,Arnal,"Pasaje de María Luisa Bonilla 62
Cantabria, 07271",Ciudad,Girona,42857,1912-06-11,+34 987167654,bayoneulalia@example.org,rosa-maria43,aPx20sCx&3,111.109.85.73,937c:2cba:ba55:dbba:82b6:f125:ee56:d974,1e:74:55:7c:9f:08,fabrica.net,http://www.cristian.net/,
Baldomero,Carlos,"C. de Demetrio Manjón 26
Melilla, 22047",,Guadalajara,48295,1977-10-29,+34 886 087 223,carmenvillalonga@example.com,kdiez,Dx&2WNUo+@,48.207.183.245,43f7:4680:c94c:8f96:a11f:c13b:30d6:788f,3e:f4:08:a2:12:02,comercial.es,https://www.familia.com/,Ciruela
Belen,Roig,"Pasadizo de Salomón Díaz 9
Navarra, 13983",Cádiz,Ceuta,43352,32-13-2022,INVALID,nestorblazquez@example.net,doroteacoloma,Qup1)X7n&*,error_value,97ec:d888:7426:45c9:b3dc:b9af:bc84:7097,3a:3e:b6:ac:ee:f2,duilio.com,https://hermanos.org/,Violeta oscuro
Eric,,"Ronda Mireia Solera 3 Puerta 5 
Santa Cruz de Tenerife, 30866",Valencia,,07347,1975-10-04,+34 949 06 23 23,,porteroregulo,ec0y%AEn($,165.79.78.232,44e3:c905:1f44:43f2:a9ba:2c0a:6479:9c,error_value,consultoria.com,https://www.familia.org/,
Eliseo,Jerez,"Plaza Rosario Belmonte 38 Apt. 50 
Badajoz, 50613",Vizcaya,,INVALID,32-13-2022,+34 942 340 189,,ctorrecilla,+4LAu8UN!G,92.220.152.240,874b:7db4:6221:a698:15c1:5d98:1dd9:6c10,ac:fc:95:43:6f:1e,restauracion.es,http://www.peiro.es/,Rosa brumoso
Epifanio,Alberto,"Glorieta de Lupe Figueroa 800
La Rioja, 33138",,,29370,32-13-2022,INVALID,juradocamila@example.net,isaiasalcaraz,MbG@YBM%^3,101.156.250.218,9e65:a5a1:68c8:e243:9b02:d232:211f:e710,error_value,familia.es,https://www.suarez.es/,
Gabriela,,"Camino de Azucena Girona 62
Albacete, 27463",Álava,Teruel,INVALID,32-13-2022,INVALID,ceciliabermejo@example.org,zacuna,%b9HPQif1v,error_value,b5ac:8b14:be12:9d6:ccac:b047:3716:dd41,46:28:b2:70:56:5e,placido.com,error_value,Azul lona
Ruben,Coello,"Glorieta de Carmina Andreu 40
Lugo, 32218",Valladolid,Madrid,25831,1933-09-27,+34706 55 13 57,teofila64@example.org,rechevarria,sZ7K8MEa1+,111.62.28.168,e878:24cb:abe0:8258:41a4:17e8:ea18:f300,error_value,rossello.es,https://emiliana.net/,Marfil
