PedroLopez@outlook.com,341.21,+57 3113390708,23/03/17,Sofia Gonzalez,127935,Sofia Perez
206093,AnaGonzalez@gmail.com,Juan Rodriguez,+57 3095955724,02/11/18,524.17,Luis Gonzalez
LuisRodriguez@outlook.com,12/05/07,110973,Ana Lopez,+57 3089003635,Maria Gonzalez,295.94
717.4,PedroLopez@outlook.com,+57 3092456343,11/10/18,429555,Maria Perez,Luis Gonzalez
AnaLopez@outlook.com,Sofia Garcia,16/11/04,+57 3091465319,967757,793.34,Sofia Garcia
220.43,+57 3135054542,Maria Rodriguez,AnaGonzalez@outlook.com,Juan Rodriguez,328576,07/06/03
535293,Maria Lopez,821.41,Luis Gonzalez,JuanGarcia@gmail.com,+57 3216896906,25/03/02
+57 3211982711,JuanRodriguez@gmail.com,641.08,971816,Luis Lopez,25/05/16,Ana Lopez
Juan Rodriguez,23/04/12,83.48,+57 3155376041,Maria Garcia,SofiaPerez@gmail.com,332805
MariaGonzalez@hotmail.com,+57 3127823700,Sofia Perez,812733,54.01,26/10/12,Juan Garcia
279.27,+57 3178547300,05/04/18,SofiaGarcia@hotmail.com,274973,Sofia Lopez,Luis Garcia
SofiaRodriguez@outlook.com,Maria Rodriguez,416.2,17/11/16,+57 3019170533,230549,Pedro Rodriguez
Pedro Perez,+57 3061113393,238.23,403993,Ana Gonzalez,24/01/22,PedroGarcia@gmail.com
Ana Lopez,Maria Lopez,929.29,754870,23/01/23,PedroPerez@outlook.com,+57 3011237012
Juan Lopez,23/02/15,SofiaGonzalez@hotmail.com,446.89,Luis Garcia,+57 3015449244,988689
SofiaGarcia@gmail.com,Juan Perez,Maria Rodriguez,+57 3201020677,04/06/05,515074,73.61
02/04/10,Juan Rodriguez,Juan Lopez,PedroGarcia@gmail.com,+57 3198936052,311.3,189596
Sofia Gonzalez,MariaRodriguez@hotmail.com,431753,16/07/11,295.37,Sofia Garcia,+57 3088129952
Luis Gonzalez,11/02/02,+57 3109683501,Juan Lopez,LuisPerez@gmail.com,340662,853.05
Juan Rodriguez,Sofia Garcia,10/04/12,791.71,298709,+57 3042772602,JuanGonzalez@hotmail.com
403.76,05/04/05,Pedro Perez,946411,LuisGarcia@outlook.com,Luis Lopez,+57 3185476385
Sofia Garcia,Pedro Lopez,620573,10/01/10,941.23,JuanGarcia@outlook.com,+57 3016087814
Maria Rodriguez,JuanGonzalez@hotmail.com,16/11/07,260.47,Maria Perez,864857,+57 3057192230
MariaPerez@outlook.com,946498,Juan Rodriguez,+57 3088420917,322.33,Luis Garcia,09/09/14
LuisPerez@gmail.com,600.14,23/07/11,+57 3182376864,162175,Sofia Perez,Maria Lopez
AnaLopez@gmail.com,833.24,768392,+57 3123155206,Luis Garcia,13/10/01,Ana Lopez
767418,19/07/22,Ana Gonzalez,832.53,+57 3066170440,Juan Perez,LuisPerez@hotmail.com
Luis Rodriguez,186405,JuanRodriguez@gmail.com,Pedro Perez,+57 3114062318,879.43,05/04/21
+57 3152645709,Sofia Garcia,12/09/03,LuisRodriguez@outlook.com,422.16,990559,Luis Gonzalez
JuanRodriguez@outlook.com,Luis Perez,+57 3158171456,Ana Garcia,350.11,378219,03/10/03
04/12/22,+57 3146202237,Sofia Lopez,LuisLopez@gmail.com,990520,649.47,Luis Gonzalez
194.16,Sofia Gonzalez,+57 3104095522,372003,Maria Lopez,05/01/14,PedroGonzalez@outlook.com
+57 3216682568,Pedro Gonzalez,286.61,827715,MariaRodriguez@hotmail.com,Pedro Gonzalez,22/02/22
+57 3198774638,23/03/17,954223,Pedro Gonzalez,JuanLopez@hotmail.com,712.46,Luis Gonzalez
673685,+57 3212109866,636.97,Luis Rodriguez,Maria Garcia,13/12/17,JuanGarcia@outlook.com
Sofia Gonzalez,353.31,05/09/09,+57 3229699706,MariaGarcia@outlook.com,Sofia Gonzalez,261700
07/11/21,900920,+57 3187558310,Sofia Rodriguez,Maria Perez,565.35,SofiaRodriguez@hotmail.com
+57 3041760464,14/03/16,797717,Maria Gonzalez,Maria Gonzalez,JuanGarcia@gmail.com,672.34
Maria Gonzalez,538031,Sofia Rodriguez,+57 3149873384,AnaLopez@gmail.com,08/01/06,268.29
MariaRodriguez@hotmail.com,Maria Gonzalez,24/08/22,+57 3111637462,Luis Gonzalez,573257,101.88
Maria Lopez,142.82,12/08/02,254681,Sofia Gonzalez,+57 3095708892,LuisRodriguez@hotmail.com
190.08,JuanGarcia@outlook.com,Pedro Gonzalez,Maria Lopez,+57 3134692129,26/07/09,553765
Maria Lopez,14.61,Pedro Lopez,01/06/11,MariaLopez@outlook.com,+57 3128504066,344998
02/03/23,Luis Lopez,+57 3166970473,490.17,954654,SofiaRodriguez@hotmail.com,Ana Rodriguez
Ana Gonzalez,05/01/19,PedroRodriguez@outlook.com,+57 3003272867,113.85,Juan Perez,155140
Luis Rodriguez,MariaGonzalez@gmail.com,826565,+57 3149810681,807.76,17/06/00,Juan Rodriguez
23.61,02/03/07,Sofia Rodriguez,676093,JuanPerez@outlook.com,+57 3115865090,Luis Rodriguez
LuisGonzalez@gmail.com,Sofia Rodriguez,516667,+57 3166990485,28/08/23,237.82,Juan Garcia
892.73,Sofia Rodriguez,LuisGonzalez@hotmail.com,+57 3079073516,751787,Luis Rodriguez,03/01/07
Maria Gonzalez,LuisRodriguez@outlook.com,800567,Juan Garcia,24/01/20,+57 3053530716,242.47
